account_rewards,date
-10269.54840999993,2024-04-30
-3058.2312399998773,2024-05-01
14465.568659999757,2024-05-02
12465.70206000004,2024-05-03
-12345.16799999983,2024-05-06
-4148.106780000031,2024-05-07
5727.10560999997,2024-05-08
-711.854560000007,2024-05-09
-5779.610110000009,2024-05-10
11775.581840000115,2024-05-13
13413.353054400184,2024-05-14
-9893.185550000053,2024-05-15
-10728.194080000045,2024-05-16
-12190.651699999813,2024-05-17
-9397.597600000212,2024-05-20
-40918.94999999984,2024-05-21
-4241.318250000011,2024-05-22
765.9052500000689,2024-05-23
-10398.782590000075,2024-05-24
