account_value,date,daily_return
920123.5009420002,2024-04-02,
915109.9316320005,2024-04-03,-0.0054488004108871335
913352.9961020005,2024-04-04,-0.0019199174539246133
922038.5728120006,2024-04-05,0.009509550794783994
926319.1198520006,2024-04-08,0.004642481525415354
926766.7098520007,2024-04-09,0.0004831920127823519
912148.1498520006,2024-04-10,-0.015773721525166318
920842.1361520007,2024-04-11,0.00953133139765816
899501.0118620007,2024-04-12,-0.023175660031349077
891858.6665220006,2024-04-15,-0.00849620538411644
895040.2265220005,2024-04-16,0.0035673365292363535
895098.4106220006,2024-04-17,6.500724579283634e-05
894696.3365020007,2024-04-18,-0.00044919543508126214
893092.6919020007,2024-04-19,-0.0017923898138108019
898192.9562320006,2024-04-22,0.005710789458077459
907369.5862320007,2024-04-23,0.010216769054276487
929643.4171620008,2024-04-24,0.024547693980460306
938521.7366220007,2024-04-25,0.009550241841224993
945602.3766220007,2024-04-26,0.007544460318505974
982979.1208220007,2024-04-29,0.03952691440298817
